"Trt","idGenotype","idWatering","idPot","Time","Exact_Time_min","SWC","E_mmol_per_m2_s","E_clean","E_estimate","E_corr","meanVPD","E_mmol_per_m2_s_kPa","E_clean_per_kPa","E_estimate_per_kPa","E_corr_per_kPa"
"bam1 - WW","bam1","WW",109,3.08333333333334,4440,0.73863042269188,0.886940115785285,0.886940115785285,NA,0.886940115785285,0.92415,0.959736098885771,0.959736098885771,NA,0.959736098885771
"bam1 - WW","bam1","WW",109,3.10416666666667,4470,0.73863042269188,0.886940115785285,0.886940115785285,NA,0.886940115785285,0.92415,0.959736098885771,0.959736098885771,NA,0.959736098885771
"bam1 - WW","bam1","WW",109,3.125,4500,0.73863042269188,0.886940115785285,0.886940115785285,NA,0.886940115785285,0.92415,0.959736098885771,0.959736098885771,NA,0.959736098885771
"bam1 - WW","bam1","WW",109,3.14583333333334,4530,0.73863042269188,0.886940115785285,0.886940115785285,NA,0.886940115785285,0.92415,0.959736098885771,0.959736098885771,NA,0.959736098885771
"bam1 - WW","bam1","WW",109,3.16666666666667,4560,0.73863042269188,0.886940115785285,0.886940115785285,NA,0.886940115785285,0.92415,0.959736098885771,0.959736098885771,NA,0.959736098885771
"bam1 - WW","bam1","WW",109,3.1875,4590,0.737138487208009,0.944830594314817,0.944830594314817,NA,0.944830594314817,0.927214285714286,1.01899917729046,1.01899917729046,NA,1.01899917729046
"bam1 - WW","bam1","WW",109,3.20833333333334,4620,0.73595383759733,0.968952281971371,0.968952281971371,NA,0.968952281971371,0.928461538461538,1.04361057710255,1.04361057710255,NA,1.04361057710255
"bam1 - WW","bam1","WW",109,3.22916666666667,4650,0.727361420096403,0.941941958790752,0.941941958790752,NA,0.941941958790752,0.935435897435897,1.0069551119138,1.0069551119138,NA,1.0069551119138
"bam1 - WW","bam1","WW",109,3.25,4680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bam1 - WW","bam1","WW",109,3.27083333333334,4710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bam1 - WW","bam1","WW",109,3.29166666666667,4740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bam1 - WW","bam1","WW",109,3.3125,4770,0.700336021505376,0.954236610821083,0.954236610821083,NA,0.954236610821083,0.907181818181818,1.05186919721735,1.05186919721735,NA,1.05186919721735
"bam1 - WW","bam1","WW",109,3.33333333333334,4800,0.699096218020022,0.947055221779557,0.947055221779557,NA,0.947055221779557,0.907142857142857,1.04399788227668,1.04399788227668,NA,1.04399788227668
"bam1 - WW","bam1","WW",109,3.35416666666667,4830,0.699096218020022,0.947055221779557,0.947055221779557,NA,0.947055221779557,0.907142857142857,1.04399788227668,1.04399788227668,NA,1.04399788227668
"bam1 - WW","bam1","WW",109,3.375,4860,0.697563264738599,0.937827084296986,0.937827084296986,NA,0.937827084296986,0.91405,1.02601289239865,1.02601289239865,NA,1.02601289239865
"bam1 - WW","bam1","WW",109,3.39583333333334,4890,0.697563264738599,0.937827084296986,0.937827084296986,NA,0.937827084296986,0.91405,1.02601289239865,1.02601289239865,NA,1.02601289239865
"bam1 - WW","bam1","WW",109,3.41666666666667,4920,0.697563264738599,0.937827084296986,0.937827084296986,NA,0.937827084296986,0.91405,1.02601289239865,1.02601289239865,NA,1.02601289239865
"bam1 - WW","bam1","WW",109,3.4375,4950,0.696525901795646,0.932628904872853,0.932628904872853,NA,0.932628904872853,0.918473684210526,1.0154116779889,1.0154116779889,NA,1.0154116779889
