"idObs","idPot","decimalDay","HourOnDay","E","nobs","min_decimalDay","max_decimalDay","surface","E_mmol_per_m2_s","idGenotype","idPotManip","Sowing","Sowing_decimalDay","Measuring_decimalDay","Days_Sowing_to_measuring","meanVPD","E_mmol_per_m2_s_kPa","SWC","idWatering","Time","Exact_Time_min"
4056,"126",102.875,0.875,0.00290499058946139,5,102.83337962963,102.916712962963,4384.70319432404,0.662528445077394,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.889583333333333,0.744762654887937,1.43039275539276,"WW",-0.458333333333329,-660
4057,"126",102.895833333333,0.8958333333,0.00290499058946139,5,102.83337962963,102.916712962963,4384.70319432404,0.662528445077394,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.889583333333333,0.744762654887937,1.43039275539276,"WW",-0.4375,-630
4058,"126",102.916666666667,0.9166666667,0.00292251793931636,6,102.83337962963,102.958391203704,4386.32530479426,0.666279342328313,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.889944444444444,0.748675208309485,1.42951552415838,"WW",-0.416666666666657,-600
4059,"126",102.9375,0.9375,0.00291922025604066,7,102.83337962963,103.00005787037,4388.54555090861,0.665190829667077,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.890083333333333,0.747335451362693,1.42850083943834,"WW",-0.395833333333329,-570
4060,"126",102.958333333333,0.9583333333,0.00295076172015903,8,102.83337962963,103.041724537037,4391.10731774274,0.671985790061693,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.89,0.755040213552464,1.42736399403066,"WW",-0.375,-540
4061,"126",102.979166666667,0.9791666667,0.00298112246396038,8,102.854224537037,103.08337962963,4397.93868090724,0.677845390819641,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.886727272727273,0.764435031680956,1.42456501831502,"WW",-0.354166666666657,-510
4062,"126",103,0,0.00301089675450085,8,102.87505787037,103.125046296296,4403.63097904014,0.683730487143847,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.888888888888889,0.769196798036828,1.42214781746032,"WW",-0.333333333333329,-480
4063,"126",103.020833333333,0.0208333333,0.00302383695482927,7,102.895891203704,103.125046296296,4406.47715973222,0.686225491524624,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.889909090909091,0.771118644066898,1.42101866387581,"WW",-0.3125,-450
4064,"126",103.041666666667,0.0416666667,0.00305915845203694,7,102.916712962963,103.166712962963,4413.30829699932,0.693166723502391,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.888083333333333,0.780519910108726,1.41822780394209,"WW",-0.291666666666657,-420
4065,"126",103.0625,0.0625,0.00307922354447605,6,102.958391203704,103.166712962963,4416.72367587906,0.697173690374277,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.887566666666667,0.785488816285286,1.41673026048026,"WW",-0.270833333333329,-390
4066,"126",103.083333333333,0.0833333333,0.00309771039977838,7,102.958391203704,103.208391203704,4420.1390547588,0.70081740900059,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.887138888888889,0.789974848107876,1.41518184196756,"WW",-0.25,-360
4067,"126",103.104166666667,0.1041666667,0.0031235751621413,6,103.00005787037,103.208391203704,4423.55433876164,0.706123384711431,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.886466666666667,0.79655943225325,1.41367012617013,"WW",-0.229166666666657,-330
4068,"126",103.125,0.125,0.0031427750843169,7,103.00005787037,103.25005787037,4426.97019202591,0.709915573856321,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.8855,0.801711545856941,1.41209881388453,"WW",-0.208333333333329,-300
4069,"126",103.145833333333,0.1458333333,0.00316259803146064,7,103.041724537037,103.270891203704,4433.80132929301,0.713292679707173,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.884818181818182,0.806146047136433,1.409194575266,"WW",-0.1875,-270
4070,"126",103.166666666667,0.1666666667,0.00317675245640106,8,103.041724537037,103.291724537037,4436.64782624145,0.716025382409556,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.885138888888889,0.808941276219803,1.40797084859585,"WW",-0.166666666666657,-240
4071,"126",103.1875,0.1875,0.00321938692927052,8,103.08337962963,103.31255787037,4442.34075688706,0.724705083525938,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.88530303030303,0.818595507662364,1.4053952991453,"WW",-0.145833333333329,-210
4072,"126",103.208333333333,0.2083333333,0.00326636336618129,10,103.08337962963,103.333391203704,4446.39690276758,0.734609041344959,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.889777777777778,0.825609561951128,1.40355921855922,"WW",-0.125,-180
4073,"126",103.229166666667,0.2291666667,0.00330167419127058,9,103.125046296296,103.333391203704,4449.17225559,0.742087292107495,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.889433333333333,0.834337172103019,1.40226224392891,"WW",-0.104166666666657,-150
4074,"126",103.25,0.25,0.00334620080040448,8,103.166712962963,103.333391203704,4451.73420314204,0.751662306802308,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.890833333333333,0.843774338786501,1.401024496337,"WW",-0.0833333333333286,-120
4075,"126",103.270833333333,0.2708333333,0.00340302431466574,7,103.208391203704,103.333391203704,4453.95432275385,0.76404562509336,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.892777777777778,0.855807171853173,1.39987571951858,"WW",-0.0625,-90
4076,"126",103.291666666667,0.2916666667,0.00340302431466574,7,103.208391203704,103.333391203704,4453.95432275385,0.76404562509336,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.892777777777778,0.855807171853173,1.39987571951858,"WW",-0.0416666666666572,-60
4077,"126",103.3125,0.3125,0.00348961959900427,6,103.25005787037,103.333391203704,4455.57671785479,0.783202673858213,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.898833333333333,0.871354727081267,1.39887311762312,"WW",-0.0208333333333286,-30
4078,"126",103.333333333333,0.3333333333,0.00348961959900427,6,103.25005787037,103.333391203704,4455.57671785479,0.783202673858213,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.898833333333333,0.871354727081267,1.39887311762312,"WW",0,0
4079,"126",103.354166666667,0.3541666667,0.00692668624644091,6,103.333391203704,103.395891203704,4465.39600329172,1.55119193042114,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.949777777777778,1.63321564971809,1.39140974765975,"WW",0.0208333333333428,30
4080,"126",103.375,0.375,0.00702229778087219,7,103.333391203704,103.416724537037,4466.59154719037,1.57218266024111,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.94275,1.66765596419104,1.39006846328275,"WW",0.0416666666666714,60
4081,"126",103.395833333333,0.3958333333,0.00702229778087219,7,103.333391203704,103.416724537037,4466.59154719037,1.57218266024111,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.94275,1.66765596419104,1.39006846328275,"WW",0.0625,90
4082,"126",103.416666666667,0.4166666667,0.0072122573411232,9,103.333391203704,103.479224537037,4470.03975347975,1.61346604032072,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.943761904761905,1.70961132482644,1.38613485280152,"WW",0.0833333333333428,120
4083,"126",103.4375,0.4375,0.00729076207749041,11,103.333391203704,103.52087962963,4473.75175973669,1.62967515164935,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.935962962962963,1.74117482863885,1.38236485736486,"WW",0.104166666666671,150
4084,"126",103.458333333333,0.4583333333,0.00740637645944691,13,103.333391203704,103.563263888889,4477.35614299767,1.65418524301,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.937757575757576,1.76397961026724,1.37852211890673,"WW",0.125,180
4085,"126",103.479166666667,0.4791666667,0.00754195253321101,14,103.343796296296,103.604224537037,4482.41771095647,1.68256352253295,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.938552631578947,1.79272154370537,1.3731456043956,"WW",0.145833333333343,210
