"idObs","idPot","decimalDay","HourOnDay","E","nobs","min_decimalDay","max_decimalDay","surface","E_mmol_per_m2_s","idPotManip","idGenotype","idWatering","Sowing","Sowing_decimalDay","Measuring_decimalDay","Days_Sowing_to_measuring","meanVPD","E_mmol_per_m2_s_kPa","SWC","Time","Exact_Time_min"
61,"55",51.8541666666667,0.8541666667,0.00217539390663856,4,51.8334490740741,51.8959259259259,4241.87954514243,0.512837265530019,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.734888888888889,0.697843270300903,1.23399395227198,0.520833333333329,750
62,"55",51.875,0.875,0.00209156439574226,5,51.8334490740741,51.9167708333333,4248.65180551496,0.492288964002017,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.731666666666667,0.672832297041481,1.23346191565871,0.541666666666664,780
63,"55",51.8958333333333,0.8958333333,0.00205501912937002,6,51.8334490740741,51.9376157407407,4255.43487796033,0.482916361853717,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.731666666666667,0.660022362442438,1.23293015146562,0.5625,810
64,"55",51.9166666666667,0.9166666667,0.00206666990425173,7,51.8334490740741,51.9584143518519,4262.22877974024,0.48488009702231,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.732777777777778,0.661701421258649,1.23237752767011,0.583333333333329,840
65,"55",51.9375,0.9375,0.00210115833227898,8,51.8334490740741,52.0001157407407,4269.03352814399,0.492185952259898,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.734041666666667,0.670515005633056,1.23166680287676,0.604166666666664,870
66,"55",51.9583333333333,0.9583333333,0.0020891002175992,9,51.8334490740741,52.0417592592593,4275.84914048848,0.488581366872203,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.732433333333333,0.667065990359354,1.23088881624351,0.625,900
67,"55",51.9791666666667,0.9791666667,0.00208166291659267,9,51.8543055555556,52.0834143518519,4282.67563411822,0.48606597707493,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.732878787878788,0.663228333408008,1.22938687297955,0.645833333333329,930
68,"55",52,0,0.00208841086097643,9,51.8750925925926,52.1250925925926,4289.51302640547,0.486864324253254,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.733638888888889,0.663629384465456,1.22780865206494,0.666666666666664,960
69,"55",52.0208333333333,0.0208333333,0.00210051735603354,8,51.8959259259259,52.1250925925926,4296.36133475017,0.488906121336669,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.733424242424242,0.666607528162214,1.22711670480549,0.6875,990
70,"55",52.0416666666667,0.0416666667,0.00210438642198351,8,51.9167708333333,52.1667592592593,4303.22057658006,0.489025924777472,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.734083333333333,0.666172221288416,1.22531260215757,0.708333333333329,1020
71,"55",52.0625,0.0625,0.00210135393641638,7,51.9376157407407,52.1667592592593,4310.09076935073,0.487542849760663,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.73430303030303,0.663953204114471,1.22445243543642,0.729166666666664,1050
72,"55",52.0833333333333,0.0833333333,0.00208988174911648,7,51.9584143518519,52.2084259259259,4316.9719305456,0.484108255216836,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.733305555555556,0.660172627289143,1.22237192359781,0.75,1080
