"","file","pot_number","year","month","date","time","date_time","Rosette_area_px","Areamm2","X","Experiment","idPot","file_3","Date1","file_5","Year","Month","Day","idPotManip","idGenotype","Treatment","decimalDay","outlier"
"576","C2M47-235-V-20190305-0048.JPG",235,2019,"Mar","2019-03-05","14:34:08",321.14870915,172056,1717.12403481,NA,"C2M47",235,"V",20190305,"0048.JPG","2019","03","05","C2M47-235","isa1-1 ProStarv::LUC","WW",64.9652777777778,FALSE
"578","C2M47-237-V-20190305-0048.JPG",237,2019,"Mar","2019-03-05","14:34:08",321.148710255,178623,1782.66289155,NA,"C2M47",237,"V",20190305,"0048.JPG","2019","03","05","C2M47-237","dpe2-5","WW",64.9659722222222,FALSE
"580","C2M47-239-V-20190305-0048.JPG",239,2019,"Mar","2019-03-05","14:34:08",321.148711231,138719,1384.41977603,NA,"C2M47",239,"V",20190305,"0048.JPG","2019","03","05","C2M47-239","Col-0","WW",64.9666666666667,FALSE
"581","C2M47-240-V-20190305-0048.JPG",240,2019,"Mar","2019-03-05","14:34:08",321.148711877,175952,1756.00623153,NA,"C2M47",240,"V",20190305,"0048.JPG","2019","03","05","C2M47-240","bam1bam3","WW",64.9666666666667,FALSE
"582","C2M47-241-V-20190305-0048.JPG",241,2019,"Mar","2019-03-05","14:34:08",321.148712805,162947,1626.2159419,NA,"C2M47",241,"V",20190305,"0048.JPG","2019","03","05","C2M47-241","sex1-3","WW",64.9604166666667,FALSE
"583","C2M47-242-V-20190305-0048.JPG",242,2019,"Mar","2019-03-05","14:34:08",321.148713728,137976,1377.00461377,NA,"C2M47",242,"V",20190305,"0048.JPG","2019","03","05","C2M47-242","Col-0","WW",64.9604166666667,FALSE
"584","C2M47-243-V-20190305-0048.JPG",243,2019,"Mar","2019-03-05","14:34:09",321.148715826,196333,1959.40922215,NA,"C2M47",243,"V",20190305,"0048.JPG","2019","03","05","C2M47-243","dpe2-5","WW",64.9604166666667,FALSE
"585","C2M47-244-V-20190305-0048.JPG",244,2019,"Mar","2019-03-05","14:34:09",321.148716623,552074,5509.71506016,NA,"C2M47",244,"V",20190305,"0048.JPG","2019","03","05","C2M47-244","dpe1-2","WW",64.9638888888889,FALSE
"586","C2M47-245-V-20190305-0048.JPG",245,2019,"Mar","2019-03-05","14:34:09",321.148717711,241433,2409.50857334,NA,"C2M47",245,"V",20190305,"0048.JPG","2019","03","05","C2M47-245","amy3-2","WW",64.9611111111111,FALSE
"587","C2M47-246-V-20190305-0048.JPG",246,2019,"Mar","2019-03-05","14:34:09",321.14871859,231419,2309.56855332,NA,"C2M47",246,"V",20190305,"0048.JPG","2019","03","05","C2M47-246","isa1-1 ProStarv::LUC","WW",64.9611111111111,FALSE
"588","C2M47-247-V-20190305-0048.JPG",247,2019,"Mar","2019-03-05","14:34:09",321.148719217,329852,3291.93284238,NA,"C2M47",247,"V",20190305,"0048.JPG","2019","03","05","C2M47-247","dpe1-2","WW",64.9652777777778,FALSE
"589","C2M47-248-V-20190305-0048.JPG",248,2019,"Mar","2019-03-05","14:34:09",321.148719863,131136,1308.74120884,NA,"C2M47",248,"V",20190305,"0048.JPG","2019","03","05","C2M47-248","amy3-2 bam1","WW",64.9659722222222,FALSE
