idPotManip;idManip;idGenotype;positionPot;bloc;poidsPotNonTroue;poidsPotTroue;poidsSolSec;dateSemis;nbPlante;substrat;humiditeNiveau1;humiditeNiveau2;humiditeNiveau3;humiditeNiveau4;humiditeNiveau5;typePot;Grille
C2M47-243;C2M47;Dpe2;P4_A15;1;15.67;14.41;68.4263;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-244;C2M47;Dpe1;P13_A28;1;15.46;14.54;68.3032;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-245;C2M47;amy3-2;P4_A27;1;16.19;15.24;68.7904;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-246;C2M47;isa1-1ProStarv::LUC;P4_A33;1;14.89;15.18;69.2417;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-247;C2M47;Dpe1;P11_A3;1;15.75;14.52;69.5545;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-248;C2M47;amy3-2bam1;P11_A9;1;14.68;15.14;67.775;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-249;C2M47;mex1-1;P11_A15;1;15.22;14.98;70.8725;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-250;C2M47;pgm;P11_A21;1;16.02;14.36;70.1596;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-251;C2M47;amy3-2;P11_A27;1;15.42;14.89;67.2314;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-252;C2M47;Bam1-3;P11_A33;1;15.28;15.2;68.9237;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-253;C2M47;pgm;P4_A4;1;16.01;15.58;69.3032;01/02/2019;1;Phenoarch;0;1;0;1;0;u;NON
C2M47-254;C2M47;Bam1;P4_A10;1;15.25;14.84;68.4263;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-255;C2M47;Bam1-3;P4_A16;1;15.2;14.85;67.7391;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-256;C2M47;Dpe1;P3_A24;1;15.51;14.36;66.3494;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-257;C2M47;Bam3;P4_A28;1;15.03;15.52;66.7032;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
